2026-02-27 10:21:57,954 | WARNING | quantum_alpha.data.collectors.market_data | Data quality issues for GL: return_outliers
2026-02-27 10:21:59,892 | WARNING | quantum_alpha.data.collectors.market_data | Data quality issues for GME: return_outliers
2026-02-27 10:22:45,058 | WARNING | quantum_alpha.data.collectors.market_data | Data quality issues for KD: return_outliers
2026-02-27 10:23:19,137 | WARNING | quantum_alpha.data.collectors.market_data | Data quality issues for MEDP: return_outliers
2026-02-27 10:23:27,155 | WARNING | quantum_alpha.data.collectors.market_data | Data quality issues for MP: return_outliers
2026-02-27 10:24:56,224 | WARNING | quantum_alpha.data.collectors.market_data | Data quality issues for SATS: return_outliers
2026-02-27 10:26:28,955 | INFO | quantum_alpha.strategy.signals | Cross-asset signals computed for 200 symbols over 258 periods
2026-02-27 10:28:49,388 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-02-27 10:28:49,579 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 10:28:49,605 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> warning
2026-02-27 10:28:49,629 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 10:28:49,654 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-02-27 10:28:49,866 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-02-27 10:28:50,002 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 10:28:50,028 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> warning
2026-02-27 10:28:50,055 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-02-27 10:28:50,193 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-02-27 10:28:50,219 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-02-27 10:28:50,537 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-02-27 10:28:51,040 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 10:28:51,066 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-02-27 10:38:09,516 | WARNING | quantum_alpha.monitoring.alert_system | Max drawdown -23.19% exceeds threshold 15.00%
2026-02-27 10:39:26,269 | INFO | quantum_alpha.strategy.signals | Cross-asset signals computed for 200 symbols over 258 periods
2026-02-27 10:41:48,611 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-02-27 10:41:48,696 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 10:41:48,795 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-02-27 10:41:49,290 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-02-27 10:41:49,317 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-02-27 10:41:49,471 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-02-27 10:41:49,498 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-02-27 10:41:49,526 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-02-27 10:41:49,801 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-02-27 10:41:49,830 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-02-27 10:41:50,301 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 10:41:50,329 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-02-27 10:49:43,204 | WARNING | quantum_alpha.monitoring.alert_system | Max drawdown -21.42% exceeds threshold 15.00%
2026-02-27 10:50:34,308 | INFO | quantum_alpha.strategy.signals | Cross-asset signals computed for 250 symbols over 258 periods
2026-02-27 10:53:42,040 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-02-27 10:53:42,300 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 10:53:42,334 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> warning
2026-02-27 10:53:42,369 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 10:53:42,404 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-02-27 10:53:42,695 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-02-27 10:53:42,889 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 10:53:42,924 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> warning
2026-02-27 10:53:42,959 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-02-27 10:53:43,152 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-02-27 10:53:43,186 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-02-27 10:53:43,636 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
2026-02-27 10:53:44,387 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 10:53:44,422 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-02-27 11:01:59,506 | WARNING | quantum_alpha.monitoring.alert_system | Max drawdown -22.98% exceeds threshold 15.00%
2026-02-27 11:02:48,310 | INFO | quantum_alpha.strategy.signals | Cross-asset signals computed for 300 symbols over 258 periods
2026-02-27 11:06:24,925 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-02-27 11:06:25,308 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 11:06:25,345 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> warning
2026-02-27 11:06:25,519 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 11:06:25,557 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> normal
2026-02-27 11:06:25,683 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: normal -> warning
2026-02-27 11:06:25,911 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> recovery
2026-02-27 11:06:25,948 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: recovery -> warning
2026-02-27 11:06:25,991 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: warning -> critical
2026-02-27 11:06:26,226 | INFO | quantum_alpha.risk.drawdown_control | Drawdown state transition: critical -> warning
